"Deaths Occurring (Number) by Age at Death, Sex, Area of Residence and"
"Year"

" "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Under 1 year"
" ","Both sexes"
" "," ","State",271,262,237,245,224,225,194,188,187,190
" "," ","Dublin City",26,21,27,29,20,19,21,21,26,26
" "," ","Fingal",13,19,13,16,15,18,13,10,16,13
" "," ","Balbriggan",..,..,..,5,1,..,..,1,..,..
" "," ","Rest of Fingal",..,..,..,..,14,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",6,9,2,4,3,14,10,4,4,6
" "," ","South Dublin",10,12,18,18,15,12,17,16,9,15
" "," ","Leinster",138,134,123,129,112,120,110,113,107,124
" "," ","Wicklow",16,12,6,6,8,8,6,10,4,8
" "," ","Arklow Town",2,1,1,0,2,..,..,2,..,..
" "," ","Bray Town",3,5,1,1,2,..,..,1,..,..
" "," ","Wicklow Town",..,1,..,0,0,..,..,..,..,..
" "," ","Greystones",..,..,..,1,0,..,..,2,..,..
" "," ","Rest of Wicklow",11,5,4,4,4,..,..,5,..,..
" "," ","Carlow",3,2,2,1,4,3,3,4,2,2
" "," ","Carlow Town",1,0,1,1,1,..,..,4,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Carlow",2,2,1,0,3,..,..,..,..,..
" "," ","Kildare",11,11,15,6,3,5,7,11,10,12
" "," ","Athy Town",..,0,4,1,0,..,..,2,..,..
" "," ","Naas Town",3,3,1,0,0,..,..,1,..,..
" "," ","Leixlip",..,..,..,0,1,..,..,..,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,2,0,..,..,1,..,..
" "," ","Rest of Co. Kildare",8,8,10,3,2,..,..,7,..,..
" "," ","Kilkenny",9,4,4,7,3,4,3,2,3,1
" "," ","Kilkenny Borough",1,0,1,0,0,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",8,4,3,7,3,..,..,2,..,..
" "," ","Laois",2,4,2,5,6,4,3,3,1,2
" "," ","Mountmellick",..,..,..,0,0,..,..,..,..,..
" "," ","Portlaoise",..,..,..,1,0,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,4,6,..,..,3,..,..
" "," ","Longford",3,1,1,2,4,1,2,2,0,3
" "," ","Longford town",..,0,1,1,0,..,..,..,..,..
" "," ","Granard",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Longford",3,1,..,1,4,..,..,2,..,..
" "," ","Louth",8,5,2,2,9,6,2,9,8,7
" "," ","Drogheda Borough",1,2,..,0,1,..,..,1,..,..
" "," ","Dundalk Town",5,0,..,0,1,..,..,7,..,..
" "," ","Ardee",..,..,..,2,1,..,..,..,..,..
" "," ","Rest of Co. Louth",2,3,2,0,6,..,..,1,..,..
" "," ","Meath",13,14,12,7,7,7,5,6,8,13
" "," ","Kells Town",..,0,2,2,0,..,..,..,..,..
" "," ","Navan Town",3,1,4,4,1,..,..,4,..,..
" "," ","Trim Town",..,0,..,0,1,..,..,..,..,..
" "," ","Rest of Co. Meath",10,13,6,1,5,..,..,2,..,..
" "," ","Offaly",8,5,2,5,5,4,5,3,4,4
" "," ","Birr Town",..,0,..,0,0,..,..,1,..,..
" "," ","Tullamore Town",1,1,..,0,1,..,..,2,..,..
" "," ","Edenderry",..,..,..,1,1,..,..,..,..,..
" "," ","Rest of Co. Offaly",7,4,2,4,3,..,..,..,..,..
" "," ","Westmeath",3,6,7,8,1,5,6,4,4,4
" "," ","Athlone Town",1,0,..,0,1,..,..,2,..,..
" "," ","Mullingar",..,..,..,4,0,..,..,..,..,..
" "," ","Rest of Co. Westmeath",2,6,7,4,0,..,..,2,..,..
" "," ","Wexford",7,9,10,8,9,10,7,7,8,8
" "," ","Enniscorthy Town",1,1,2,0,0,..,..,..,..,..
" "," ","New Ross Town",..,0,2,0,0,..,..,..,..,..
" "," ","Wexford Borough",..,0,1,2,0,..,..,2,..,..
" "," ","Gorey",..,..,..,2,3,..,..,..,..,..
" "," ","Rest of Co. Wexford",6,8,5,4,6,..,..,5,..,..
" "," ","Munster",89,79,71,76,68,54,47,44,50,41
" "," ","Waterford County",3,5,4,4,2,..,6,3,0,0
" "," ","Dungarvan Town",..,0,..,0,0,..,..,1,..,..
" "," ","Lismore",..,..,..,0,0,..,..,..,..,..
" "," ","Tramore",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Waterford",3,5,4,4,2,..,..,2,..,..
" "," ","Waterford City",4,2,4,4,2,1,3,1,1,2
" "," ","Clare",9,8,5,6,12,8,6,4,5,4
" "," ","Ennis Town",1,3,..,0,1,..,..,1,..,..
" "," ","Kilrush Town",..,0,..,0,1,..,..,..,..,..
" "," ","Shannon",..,..,..,0,1,..,..,1,..,..
" "," ","Kilkee",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Clare",8,5,5,6,9,..,..,2,..,..
" "," ","Cork City",10,4,7,5,3,6,3,2,2,3
" "," ","Cork County",27,25,20,20,17,13,11,11,12,17
" "," ","Cobh Town",1,0,..,1,1,..,..,..,..,..
" "," ","Fermoy Town",..,0,1,2,0,..,..,..,..,..
" "," ","Kinsale Town",..,0,1,0,0,..,..,..,..,..
" "," ","Midleton Town",2,2,3,0,0,..,..,..,..,..
" "," ","Youghal Town",..,0,..,0,0,..,..,..,..,..
" "," ","Clonakilty Town",1,0,..,0,0,..,..,..,..,..
" "," ","Skibbereen Town",..,0,..,0,0,..,..,..,..,..
" "," ","Macroom Town",..,0,..,0,0,..,..,..,..,..
" "," ","Mallow Town",..,1,..,2,1,..,..,..,..,..
" "," ","Rest of Co. Cork",23,22,15,14,14,..,..,11,..,..
" "," ","Passage West",..,..,..,1,0,..,..,..,..,..
" "," ","Bandon",..,..,..,0,0,..,..,..,..,..
" "," ","Bantry",..,..,..,0,1,..,..,..,..,..
" "," ","Kerry",11,8,8,10,9,7,5,7,6,5
" "," ","Killarney Town",2,0,1,5,2,..,..,1,..,..
" "," ","Listowel Town",2,1,..,1,0,..,..,..,..,..
" "," ","Tralee Town",2,0,1,1,2,..,..,1,..,..
" "," ","Rest of Co. Kerry",5,7,6,3,5,..,..,5,..,..
" "," ","Limerick City",9,6,3,5,5,6,2,3,6,1
" "," ","Limerick County",8,13,10,13,10,8,4,4,7,4
" "," ","North Tipperary",4,3,10,7,6,2,2,1,..,..
" "," ","Nenagh Town",..,1,1,2,1,..,..,..,..,..
" "," ","Templemore Town",1,0,1,1,0,..,..,..,..,..
" "," ","Thurles Town",..,0,1,0,1,..,..,..,..,..
" "," ","Rest of North Tipperary",3,2,7,4,4,..,..,1,..,..
" "," ","South Tipperary",4,5,..,2,2,3,5,8,..,..
" "," ","Carrick-on-Suir Town",..,1,..,0,0,..,..,1,..,..
" "," ","Cashel Town",1,0,..,0,0,..,..,..,..,..
" "," ","Clonmel Borough",..,1,..,0,1,..,..,..,..,..
" "," ","Tipperary Town",1,0,..,0,0,..,..,1,..,..
" "," ","Tipperary",..,..,..,..,..,..,..,..,11,5
" "," ","Rest of South Tipperary",2,3,..,2,1,..,..,6,..,..
" "," ","Connacht",28,36,27,20,28,32,24,13,13,18
" "," ","Galway City",5,2,4,5,4,2,3,3,0,0
" "," ","Leitrim",2,3,2,0,1,2,1,..,0,4
" "," ","Mayo",6,5,4,4,10,6,8,1,2,5
" "," ","Ballina Town",1,0,2,0,2,..,..,..,..,..
" "," ","Castlebar Town",1,1,..,0,0,..,..,..,..,..
" "," ","Westport Town",..,0,..,1,0,..,..,..,..,..
" "," ","Rest of Co. Mayo",4,4,2,3,8,..,..,1,..,..
" "," ","Roscommon",6,5,2,1,4,4,6,..,3,1
" "," ","Boyle",..,..,..,1,0,..,..,..,..,..
" "," ","Rest of Co. Roscommon",..,..,..,0,4,..,..,..,..,..
" "," ","Sligo",3,5,6,3,3,4,2,4,2,0
" "," ","Sligo Borough",1,1,3,0,0,..,..,2,..,..
" "," ","Rest of Co. Sligo",2,4,3,3,3,..,..,2,..,..
" "," ","Galway County",6,16,9,7,6,14,4,5,6,8
" "," ","Ballinasloe Town",..,0,..,2,1,..,..,..,..,..
" "," ","Loughrea",..,..,..,1,0,..,..,1,..,..
" "," ","Tuam",..,..,..,1,0,..,..,..,..,..
" "," ","Rest of Co. Galway",6,16,9,3,5,..,..,4,..,..
" "," ","Ulster (pt)",16,13,16,20,16,19,13,18,17,7
" "," ","Cavan",4,4,3,3,5,4,2,4,6,2
" "," ","Cavan Town",2,1,1,0,0,..,..,2,..,..
" "," ","Belturbet",..,..,..,0,0,..,..,..,..,..
" "," ","Cootehill",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Cavan",2,3,2,3,5,..,..,2,..,..
" "," ","Donegal",6,6,11,10,9,11,7,11,7,5
" "," ","Buncrana Town",..,0,..,0,0,..,..,..,..,..
" "," ","Bundoran Town",..,0,..,0,2,..,..,..,..,..
" "," ","Letterkenny Town",1,0,3,1,1,..,..,1,..,..
" "," ","Ballyshannon",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Donegal",5,6,8,9,6,..,..,10,..,..
" "," ","Monaghan",6,3,2,7,2,4,4,3,4,0
" "," ","Carrickmacross Town",..,0,..,0,0,..,..,..,..,..
" "," ","Castleblaney Town",..,0,..,1,0,..,..,1,..,..
" "," ","Clones Town",1,0,..,0,0,..,..,1,..,..
" "," ","Monaghan Town",2,1,1,0,0,..,..,..,..,..
" "," ","Ballybay",..,..,..,0,0,..,..,..,..,..
" "," ","Rest of Co. Monaghan",3,2,1,6,2,..,..,1,..,..
" "," ","Outside the State",..,..,..,..,..,..,..,..,..,..
" ","Male"
" "," ","State",154,150,115,140,130,125,109,90,94,104
" "," ","Dublin City",21,11,17,17,15,9,11,9,14,14
" "," ","Fingal",5,10,9,8,9,11,9,4,8,9
" "," ","Balbriggan",..,..,..,4,1,..,..,..,..,..
" "," ","Rest of Fingal",..,..,..,..,8,..,..,..,..,..
" "," ","Dun Laoghaire Rathdown",2,6,1,2,2,5,4,3,0,2
" "," ","South Dublin",8,6,9,6,10,5,8,9,5,11
" "," ","Leinster",79,81,67,74,67,63,62,53,53,72
" "," ","Wicklow",9,8,2,4,4,3,4,5,3,2
" "," ","Arklow Town",..,1,1,0,1,..,..,..,..,..
" "," ","Bray Town",2,4,..,0,1,..,..,1,..,..
" "," ","Wicklow Town",..,1,..,0,..,..,..,..,..,..
" "," ","Greystones",..,..,..,1,..,..,..,1,..,..
" "," ","Rest of Wicklow",7,2,1,3,2,..,..,3,..,..
" "," ","Carlow",3,1,1,0,2,3,1,..,1,0
" "," ","Carlow Town",1,0,1,0,..,..,..,..,..,..
" "," ","Bagenalstown (Muine Bheag)",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Carlow",2,1,..,0,2,..,..,..,..,..
" "," ","Kildare",5,8,10,5,2,3,5,6,5,8
" "," ","Athy Town",..,0,4,1,..,..,..,2,..,..
" "," ","Naas Town",1,3,1,0,..,..,..,..,..,..
" "," ","Leixlip",..,..,..,0,..,..,..,..,..,..
" "," ","Newbridge (Droichead Nua)",..,..,..,2,..,..,..,1,..,..
" "," ","Rest of Co. Kildare",4,5,5,2,2,..,..,3,..,..
" "," ","Kilkenny",7,3,2,4,1,3,1,2,2,1
" "," ","Kilkenny Borough",1,0,1,0,..,..,..,..,..,..
" "," ","Rest of Co. Kilkenny",6,3,1,4,1,..,..,2,..,..
" "," ","Laois",1,3,..,4,2,3,2,2,1,1
" "," ","Mountmellick",..,..,..,0,..,..,..,..,..,..
" "," ","Portlaoise",..,..,..,1,..,..,..,..,..,..
" "," ","Rest of Co. Laois",..,..,..,3,2,..,..,2,..,..
" "," ","Longford",1,0,..,1,1,..,2,..,0,0
" "," ","Longford town",..,0,..,0,..,..,..,..,..,..
" "," ","Granard",..,..,..,0,..,..,..,..,..,..
" "," ","Rest of Co. Longford",1,0,..,1,1,..,..,..,..,..
" "," ","Louth",3,2,..,0,7,4,1,6,4,6
" "," ","Drogheda Borough",..,1,..,0,1,..,..,1,..,..
