cur,US dollar,Japanese yen,Bulgarian lev,Czech koruna,Danish krone,Estonian kroon,Israeli shekel,Pound sterling,Hungarian forint,Lithuanian litas,Latvian lats,Polish zloty,New Romanian leu,Swedish krona,Slovak koruna,Swiss franc,Icelandic krona,Norwegian krone,Croatian kuna,Russian rouble,New Turkish lira,Australian dollar,Brasilian real,Canadian dollar,Chinese yuan renminbi,Hong Kong dollar,Indonesian rupiah,Indian rupee,South Korean won,Mexican peso,Malaysian ringgit,New Zealand dollar,Philippine peso,Singapore dollar,Thai baht,South African rand
Date,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
02-Jan-20,1.1193,121.75,1.9558,25.411,7.4719,,3.869,0.84828,329.98,,,4.2544,4.7828,10.4728,,1.0865,136.9,9.8408,7.4445,69.1893,6.6699,1.6006,4.487,1.4549,7.7946,8.7203,15540.92,79.9065,1298.24,21.1383,4.5764,1.6718,56.825,1.5084,33.741,15.7496
03-Jan-20,1.1147,120.54,1.9558,25.36,7.4731,,3.8766,0.85115,330.53,,,4.2493,4.7784,10.4858,,1.084,136.9,9.8315,7.4463,69.119,6.6587,1.6031,4.5271,1.4471,7.7712,8.6713,15536.69,80.0085,1300.32,21.1433,4.5725,1.6718,56.983,1.5047,33.614,15.9222
06-Jan-20,1.1194,121.02,1.9558,25.301,7.4732,,3.8913,0.85215,329.66,,,4.2415,4.7743,10.5308,,1.085,137.3,9.8488,7.445,69.4047,6.69,1.6119,4.5461,1.4525,7.8049,8.6978,15604.44,80.5175,1308.83,21.1418,4.594,1.6788,57.247,1.511,33.744,15.9465
07-Jan-20,1.1172,121.15,1.9558,25.276,7.4731,,3.8731,0.85183,331.28,,,4.2457,4.7778,10.5423,,1.085,137.3,9.8548,7.4478,69.2576,6.676,1.6251,4.5625,1.452,7.7562,8.6836,15501.15,80.265,1302.48,21.0852,4.5727,1.6833,56.832,1.5081,33.823,15.9724
08-Jan-20,1.1115,120.86,1.9558,25.265,7.4731,,3.8541,0.84868,331.08,,,4.2429,4.7774,10.5108,,1.0792,137.1,9.8508,7.449,68.6389,6.6158,1.6195,4.5092,1.447,7.7184,8.6424,15441.51,79.709,1297.37,20.9079,4.5588,1.6739,56.42,1.5014,33.74,15.8166
09-Jan-20,1.111,121.54,1.9558,25.253,7.4731,,3.8556,0.85285,332.51,,,4.2422,4.7785,10.533,,1.0808,137.7,9.8665,7.446,68.0757,6.5331,1.6193,4.5194,1.4505,7.7011,8.6317,15387.35,79.162,1288.28,20.8637,4.5445,1.6796,56.25,1.5018,33.647,15.7839
10-Jan-20,1.1091,121.6,1.9558,25.265,7.4731,,3.8476,0.8481,333.85,,,4.2462,4.7796,10.551,,1.0822,136.6,9.8745,7.4445,68.041,6.5198,1.6132,4.5188,1.4498,7.6773,8.6137,15263.99,78.6915,1286,20.8634,4.5212,1.6769,55.998,1.4969,33.534,15.8081
13-Jan-20,1.1126,122.25,1.9558,25.23,7.4732,,3.8604,0.8576,334.29,,,4.2348,4.7784,10.5598,,1.0811,137.2,9.8955,7.4445,68.0893,6.5219,1.6117,4.5832,1.4514,7.6697,8.6504,15243.73,78.8225,1288.09,20.9084,4.5199,1.6769,56.147,1.4989,33.62,15.9948
14-Jan-20,1.1115,122.32,1.9558,25.155,7.4731,,3.8541,0.85618,332.77,,,4.2219,4.7795,10.5248,,1.0767,137.2,9.892,7.445,68.2418,6.5448,1.611,4.6056,1.4528,7.6536,8.6447,15219.55,78.7285,1285.74,20.9406,4.5288,1.6803,56.242,1.4981,33.624,16.0274
